gsi_lat,gsi_lon,gsi_name,gsi_kana,lfSpanFr,gaijiFlg,name1,name2,id,name,kana,alt,lat,lon,level,auth,distance
33.881677,135.204322,講山,こうやま,2012-10-12,0,講山,講山,9759,講山,こうやま,170,33.881627,135.204294,27,2,6.10
34.732941,135.204333,摩耶山,まやさん,2012-10-12,0,摩耶山,摩耶山,798,摩耶山,まやさん,702,34.732902,135.204308,18,1,4.87
34.739718,135.204833,摩耶別山,まやべっさん,2012-10-12,0,摩耶別山,摩耶別山,10380,摩耶別山,まやべっさん,717,34.739702,135.204848,18,2,2.25
35.695252,135.204258,太鼓山,たいこやま,2012-10-12,0,太鼓山,太鼓山,792,太鼓山,たいこやま,683,35.695268,135.204236,54,1,2.62
34.308402,135.207894,俎石山,そせきざん,2012-10-12,0,俎石山,俎石山,739,俎石山,そせきざん,420,34.308398,135.207857,54,1,3.39
34.161091,135.206261,城山,じょうやま,2012-10-12,0,城山,城山,9918,城山,じょうやま,42,34.160996,135.206535,18,2,27.29
34.107468,135.197864,岳山,たけやま,2012-10-12,0,岳山,岳山,9923,岳山,たけやま,350,34.107445,135.197985,18,2,11.45
35.723341,135.199333,笠山,かさやま,2012-10-12,0,笠山,笠山,18899,笠山,かさやま,496,35.723464,135.199455,36,2,17.56
34.967663,135.201994,大谷山,おおたにやま,2012-10-12,0,大谷山,大谷山,10574,大谷山,おおたにやま,417,34.967588,135.202005,18,2,8.42
33.842205,135.199156,湯上山,ゆあげさん,2012-10-12,0,湯上山,湯上山,9767,湯上山,ゆあげさん,220,33.842222,135.199167,0,2,2.15
33.837955,135.208572,高城山,たかしろやま,2012-10-12,0,高城山,高城山,9768,高城山,たかじやま,240,33.837961,135.208588,45,2,1.59
33.979261,135.19856,鳥松山,とりまつやま,2012-10-12,0,鳥松山,鳥松山,9811,鳥松山,とりまつやま,348,33.979244,135.198588,36,2,3.14
33.913816,135.207683,三国山,さんごくやま,2012-10-12,0,三国山,三国山,9752,三国山,さんごくやま,200,33.913611,135.207500,0,2,28.37
34.745552,135.201694,新穂高,しんほだか,2012-10-12,0,新穂高,新穂高,10379,新穂高,しんほだか,648,34.745567,135.201725,18,2,3.25
33.922388,135.199903,オクボ山,おくぼやま,2012-10-12,0,オクボ山,オクボ山,9822,オクボ山,おくぼやま,207,33.922359,135.199649,36,2,23.68
33.867482,135.202461,琴平山,こんぴらさん,2012-10-12,0,琴平山,琴平山,9769,琴平山,こんぴらさん,150,33.867500,135.202500,0,2,4.12
43.876842,144.876539,海別岳,うなべつだけ,2012-07-30,0,海別岳,海別岳,7,海別岳,うなべつだけ,1419,43.876845,144.876540,54,1,0.38
35.092171,134.914656,妙見山,みょうけんさん,2012-10-12,0,妙見山,妙見山,10348,妙見山,みょうけんさん,692,35.092134,134.914655,45,2,4.08
35.21208,134.918656,三国岳,みくにだけ,2012-10-12,0,三国岳,三国岳,10363,三国岳,みくにだけ,855,35.212127,134.918597,36,2,7.47
35.272877,134.915569,粟鹿山,あわがやま,2012-10-12,0,粟鹿山,粟鹿山,801,粟鹿山,あわがやま,962,35.272785,134.915427,54,1,16.48
35.421913,134.915869,東床尾山,ひがしとこのおさん,2012-10-12,0,東床尾山,東床尾山,795,東床尾山,ひがしとこのおさん,839,35.421887,134.915863,54,1,2.99
35.346338,134.918719,宝山,たからやま,2013-07-26,0,宝山,宝山,10842,宝山,たからやま,349,35.346274,134.918702,36,2,7.26
34.998268,132.634175,冠山,かんむりやま,2012-10-12,0,冠山,冠山,12226,冠山,かんむりやま,556,34.998189,132.634194,36,2,8.96
34.709168,132.633639,小津古山,こつこやま,2012-10-12,0,小津古山,小津古山,12048,小津古山,こつこやま,640,34.709167,132.633611,0,2,2.56
34.311285,132.636356,岩山,いわやま,2012-10-12,0,岩山,岩山,11729,岩山,いわやま,419,34.311461,132.636286,36,2,20.60
33.188355,132.635375,三本杭,さんぼんぐい,2012-10-12,0,三本杭,三本杭,946,三本杭,さんぼんぐい,1226,33.188324,132.635416,54,1,5.15
33.517399,132.632869,神南山,かんなんざん,2012-10-12,0,神南山,神南山,936,神南山,かんなんざん,710,33.517433,132.632889,45,1,4.24
33.965071,132.637089,高山,たかやま,2012-10-12,0,高山,高山,13060,高山,たかやま,150,33.965010,132.637136,27,2,8.00
34.507107,132.633597,安駄山,あんだやま,2012-10-12,0,安駄山,安駄山,11903,安駄山,あんだやま,735,34.507083,132.633597,36,2,2.62
35.421091,132.630375,高見平山,たかみひらやま,2012-10-12,0,高見平山,高見平山,12612,高見平山,たかみひらやま,165,35.421052,132.630463,36,2,9.02
35.132957,132.627386,三瓶山,さんべさん,2012-10-12,0,三瓶山,三瓶山,12292,女三瓶山,めさんべさん,953,35.134814,132.632249,18,2,488.05
35.131913,132.632639,太平山,たいへいざん,2012-10-12,0,太平山,太平山,12293,大平山,たいへいざん,854,35.131892,132.632728,18,2,8.46
35.134941,132.632778,女三瓶山,めさんべさん,2012-10-12,0,女三瓶山,女三瓶山,12292,女三瓶山,めさんべさん,953,35.134814,132.632249,18,2,50.15
33.989182,132.626978,泰ノ山,たいのやま,2012-10-12,0,泰ノ山,泰ノ山,13059,泰ノ山,たいのやま,289,33.989132,132.626903,36,2,8.83
33.437463,132.633372,御在所山,ございしょやま,2012-10-12,0,御在所山,御在所山,12929,御在所山,ございしょやま,669,33.437516,132.633405,45,2,6.65
33.063568,132.637547,瀬戸黒森,せとくろもり,2012-10-12,0,瀬戸黒森,瀬戸黒森,12820,瀬戸黒森,せとくろもり,977,33.063615,132.637618,36,2,8.46
33.208768,132.634614,高月山,たかつきやま,2012-10-12,0,高月山,高月山,945,高月山,たかつきやま,1229,33.208681,132.634642,36,1,9.97
35.122218,132.633194,日影山,ひかげやま,2012-10-12,0,日影山,日影山,12296,日影山,ひかげやま,697,35.122178,132.633293,18,2,10.07
35.03781,132.637419,登矢ヶ丸山,とやがまるやま,2012-10-12,0,登矢ヶ丸山,登矢ヶ丸山,12266,登矢ヶ丸山,とやがまるやま,549,35.037780,132.637415,36,2,3.32
27.055296,127.973014,アサ岳,あさだけ,2012-10-12,0,アサ岳,アサ岳,11059,アサ岳,あさだけ,219,27.055296,127.973033,27,2,1.84
32.617649,129.815308,熊ノ岳,くまのだけ,2012-10-12,0,熊ノ岳,熊ノ岳,5750,熊ノ岳,くまのだけ,288,32.617613,129.815350,27,2,5.55
33.255724,129.824233,烏帽子岳,えぼしだけ,2012-10-12,0,烏帽子岳,烏帽子岳,15007,烏帽子岳,えぼしだけ,596,33.255611,129.824278,36,2,13.26
31.858685,129.823306,繩瀬山,のうぜやま,2012-10-12,0,繩瀬山,縄瀬山,13997,縄瀬山,のうぜやま,306,31.858778,129.823286,18,2,10.54
31.851102,129.824639,橋掛山,はしかけやま,2012-10-12,0,橋掛山,橋掛山,13996,橋掛山,はしかけやま,296,31.851133,129.824665,36,2,4.27
32.695335,129.815386,高岳,たかだけ,2012-10-12,0,高岳,高岳,14734,高岳,たかだけ,104,32.695353,129.815454,36,2,6.73
