lat,lon,name,kana,lfSpanFr,gaijiFlg,name1
42.268922,139.863175,雁毛山,がんけやま,2012-07-30,0,雁毛山
37.415505,139.865414,高畑山,たかはたやま,2012-10-12,0,高畑山
36.680473,139.861265,矢倉山,やぐらやま,2012-10-12,0,矢倉山
37.764488,139.864672,三ノ倉山,さんのくらやま,2012-10-12,0,三ノ倉山
38.299376,139.857511,相模山,さがみやま,2012-10-12,0,相模山
35.305952,139.858887,神明山,しんめいやま,2012-10-12,0,神明山
38.187051,139.860739,不動山,ふどうやま,2012-10-12,0,不動山
40.595439,139.862906,椿山,つばきやま,2012-10-12,0,椿山
36.915592,139.866761,月山,がっさん,2012-10-12,0,月山
35.112286,139.864697,津辺野山,つべのやま,2012-10-12,0,津辺野山
38.354506,139.856964,オツボ峰,おつぼみね,2012-10-12,0,オツボ峰
37.704807,139.864777,東山,ひがしやま,2012-10-12,0,東山
38.326987,139.8629,中先峰,なかせんぽう,2012-10-12,0,中先峰
38.238912,139.863823,桧岩屋山,ひのきいわややま,2012-10-12,0,桧岩屋山
45.516949,148.80487,神威岳,かむいだけ,2014-02-14,0,神威岳
43.469264,142.193058,里山,さとやま,2012-07-30,0,里山
44.069172,142.188053,犬牛別山,いぬうしべつやま,2012-07-30,0,犬牛別山
27.129403,142.190552,立神山,たちがみやま,2012-10-12,0,立神山
27.136268,142.195292,尖山,とがりやま,2012-10-12,0,尖山
44.004589,142.189164,ペケット山,ぺけっとさん,2012-07-30,0,ペケット山
27.07061,142.188478,飯盛山,めしもりやま,2012-10-12,0,飯盛山
43.942342,142.195914,冬路山,ふゆじやま,2012-07-30,0,冬路山
45.110161,142.191372,トキタイ山,ときたいやま,2012-07-30,0,トキタイ山
27.098852,142.187975,三日月山,みかづきやま,2012-10-12,0,三日月山
44.459956,142.192552,苦頓別山,くとんべつやま,2012-07-30,0,苦頓別山
27.178699,142.189833,広根山,ひろねやま,2012-10-12,0,広根山
43.538836,142.190303,班溪山,ぱんけやま,2012-07-30,0,班溪山
27.157145,142.193093,測量ヶ岳,そくりょうがたけ,2012-10-12,0,測量ヶ岳
27.161439,142.187081,天海岳,てんかいだけ,2012-10-12,0,天海岳
